Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound
Prologue2_3,Witch,啊啦~到此為止。,normal,Center,,,,,,bg_jail,,
,Witch,想不到竟然是真的呢！,happy,,,,,,,,,
,Witch,但看起來還有點開發空間。,happy,,,,,,,,,
,Hero,沒錯！{PlayerName}出品必屬精品。,,,,,,,,,,
,Witch,好吧，我同意用最低價賣給你們。,sad,,,,,,,,,
,Witch,但這東西挺有趣的。,happy,,,,,,,,,
,Witch,自我介紹下吧小小發明家。,happy,Right,,,,,,,,
,JailerGirl,我...我叫雫...,shy,Left,,,,jump,,,,
,Hero,我叫{PlayerName}。,,,,,,,,,,
,Witch,哼~嗯?你就傳言中用不好魔法的獄卒呀?,normal,,,,,,,,,
,JailerGirl,對...,sad,,,,,,,,,
,,賽蕾絲看到雫心情低落顯得有些慌張。,,,,,,,,,,
,Witch,別緊張小可愛。,scare,,,,,,,,,
,Witch,我看你剛剛魔法都用的蠻好的！,happy,,,,,jump,,,,
,JailerGirl,真的嗎?,happy,,,,,,,,,
,Witch,當然！接下來在我的教導下肯定會越來越好的。,happy,,,,,,,,,
,JailerGirl,嗯！,happy,,,,,jump,,,,
,,看起來雫是真的很開心。,,,,,,,,,,
,,畢竟能得到這位世紀大魔女的稱讚。,,,,,,,,,,
,JailerGirl,謝謝賽蕾絲師傅。,,,,,,,,,,
,Witch,小朋友們~你們可以稱呼我賽蕾絲就好。,happy,,,,,,,,,
,Witch,不必這麼拘謹，不過師傅嗎...哼♪,happy,,,,,,,,,
,,顯然賽蕾絲有點暗爽。,,,,,,,,,,
,,我好像知道為什麼她會在這賣魔法了。,,,,,,,,,,
,Hero,好！接下來整備一下就繼續出發吧！,,,,,,,,,,
,Witch,出發?小朋友們這是要去哪?,normal,,,,,,,,,
,JailerGirl,我..我們想逃...逃出去。,sad,,,,,,,,,
,Witch,可是外面這麼危險。,sad,,,,,,,,,
,Witch,你們也看到了那些怪物吧。,normal,,,,,,,,,
,Witch,就這樣出去會成為它們的小點心的。,sad,,,,,,,,,
,Hero,畢竟有不得不出去的理由。,,,,,,,,,,
,JailerGirl,我只想找個安全的地方...,sad,,,,,,,,,
,Witch,哼嗯...,normal,,,,,,,,,
,,賽蕾絲貌似陷入了長考。,,,,,,,,,,
,Witch,好，決定了！,happy,,,,,jump,,,,
,Witch,我會跟你們一起走，直到送你們出去。,happy,,,,,,,,,
,Witch,就當作是一種售後服務吧。,normal,,,,,,,,,
,Witch,畢竟不能看我的小徒弟變成點心。,normal,,,,,,,,,
,Hero,真的嗎?那太好了！,,,,,,,,,,
,Witch,不過在此之前少年先跟我進來屋裡。,normal,,,,,,,,,
,Hero,我...我嗎?,,,,,,,,,,
,Witch,雫就先在外面練習剛剛的魔法。,happy,,,,,,,,,
,JailerGirl,好...好的。,normal,,,,,hide,,,,
END,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
