Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound
Prologue4_1,,待眾人餐後。,,,,,,,,bg_jail,,
,Hero,呼...好飽。,,,,,,,,,,
,Hero,就是只吃燒鴨有點膩...,,,,,,,,,,
,WolfGirl,會嗎?我倒覺得很棒啊！,normal,Center,,,,jump,,,,
,Witch,畢竟是喜歡的東西♪,normal,Right,,,,hide,,,,
,WolfGirl,小不點就該多吃一點肉才好！,happy,,,,,,,,,
,JailerGirl,我...我嗎?,scare,Right,,,,,,,,
,JailerGirl,我...我會的...,normal,Right,,,,hide,,,,
,Hero,好！那我們再次往出口前進吧！,,,,,,,,,,
,Hero,嘿！嘿！喔！,,,,,,,,,,
,WolfGirl,嗷嗚！,happy,Center,,,,hide,,,,
,JailerGirl,嘿...嘿！喔！,shy,,,,,hide,,,,
,Witch,喔♪,happy,Center,,,,,,,,
,Hero,話說接下來往哪走?,,,,,,,,,,
,Witch,嗯?,normal,,,,,jump,,,,
,Witch,原來你不知道路嗎?,scare,,,,,,,,,
,Hero,畢竟我根本沒機會離開我那區...,,,,,,,,,,
,Witch,呵♪接下來要往中央大道。,happy,,,,,,,,,
,Witch,要去出口一定要經過那邊呢♪,normal,,,,,,,,,
,Hero,那我們就立刻出發吧！,,,,,,,,,,
,JailerGirl,那...那個...,normal,Right,,,,hide,,,,
,Hero,嗯?,,,,,,,,,,
,JailerGirl,我...我記得地震後很多囚犯都往中央大道去...,scare,,,,,,,,,
,Hero,他們會不會也想往出口去?,,,,,,,,,,
,Witch,應該不會...,normal,,,,,,,,,
,Witch,這邊絕大部分囚犯都不敢惹到那位♪,happy,,,,,,,,,
,WolfGirl,嗷！,scare,Left,,,,jump,,,,
,WolfGirl,你...你不會是說那位吧...,scare,,,,,,,,,
,WolfGirl,要是被她知道了我會不會被趕出去...,sad,,,,,hide,,,,
,JailerGirl,典...典獄長可能只會痛扁你們一頓關回來...,sad,,,,,hide,,,,
,Hero,只能祈禱不要遇到她了...,,,,,,,,,,
,Witch,嗯...中央大道嗎?,sad,Center,,,,,,,,
,Hero,怎麼了嗎?,,,,,,,,,,
,Witch,沒事♪只是想起一個朋友。,happy,,,,,jump,,,,
END,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
