Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound
event_05,,<往廚房的路上>,,,,,,,,bg_jail,,Bgm_Story1
,Witch,啊啦♪我記得在這附近...,normal,Center,,,,,,,,
,Hero,在找什麼嗎?,,,,,,,,,,
,Witch,之前有一些金幣放在這附近呢...,normal,,,,,,,,,
,Hero,要不然我幫你找吧！,,,,,,,,,,
,Witch,好呀♪找到會給你報酬喔♪,happy,,,,,hide,,,,
,Choose,你發現兩個可疑的地方。,,,檢查牆壁下面的小洞。|檢查正上方的吊燈內側。,A|B,,,,,,
,,你試圖窺探洞中狀況，但一片漆黑什麼都看不到。,,,,,,,,,A,
,,將手伸進洞似乎摸到個硬物。,,,,,,,,,,
,Hero,嗯?好像有喔！,,,,,,,,,,
,,你得到了一個箱子隨即拿給賽蕾絲確認。,,,,,,,,,,
,Witch,就是這個♪,happy,Center,,,,,,,,
,,賽蕾絲將箱子打開裡面金幣目測少說1000金幣。,,,,,,,,,,
,Witch,來~說好的報酬~,happy,,,,,,MoneyAdd_50,,,
,Hero,謝謝大大無私分享，店主好人一生平安！,,,,,,,,,,
END,,,,,,,,,,,,
,,正當你爬上吊燈然而承受不住你的重量應聲斷裂。,,,,,shake,,,,B,
,Hero,哇！,,,,,,,,,,
,,掉落時一陣風將你托住避免你摔傷。,,,,,,,,,,
,Witch,少年你沒事吧?,scare,Center,,,,,,,,
,Hero,沒...哎呀！,,,,,,,BloodDiff_10,,,
,,話還沒說完頭頂被一個小布袋砸到，裡面似乎有硬物,,,,,,,,,,
,Hero,好痛...是這個嗎?,,,,,,,,,,
,Witch,不是呢...應該是個箱子才對...,sad,,,,,,,,,
,Witch,沒事♪找不到就算了♪,normal,,,,,,,,,
,Witch,本來也只是順便拿而已♪,happy,,,,,hide,,,,
,Hero,好吧...,,,,,,,,,,
,,將布袋打開來裡面似乎有一些金幣。,,,,,,,,,,
,Hero,那這些就歸我了！,,,,,,,MoneyAdd_20,,,
,JailerGirl,這...這樣不好吧...,sad,Center,,,,,,,,
,Hero,沒事，是把錢亂放的人不對！,,,,,,,,,,
END,,,,,,,,,,,,
