Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound
Affinity_JailerGirl_11,,<整備室>,,,,,,,,bg_jail,,Bgm_Story1
,,不遠處的雫貌似心情有些低落。,,,,,,,,,,
,Hero,怎麼了嗎?難得可以休息一下。,,,,,,,,,,
,JailerGirl,嗚咿！,scare,Center,,,,jump,,,,
,JailerGirl,沒...沒什麼...,sad,,,,,,,,,
,Hero,我看你好像有什麼心事的樣子。,,,,,,,,,,
,Hero,不然我們來聊下天吧！,,,,,,,,,,
,Hero,也可以趁這機會認識一下！,,,,,,,,,,
,JailerGirl,好...好吧...,normal,,,,,,,,,
,JailerGirl,但我可能沒什麼有趣的話題...,sad,,,,,,,,,
,Hero,你怎麼會想離開這?,,,,,,,,,,
,JailerGirl,其...其實我不是自願來的...,sad,,,,,,,,,
,JailerGirl,只是聽說這裡可以學魔法。,normal,,,,,,,,,
,JailerGirl,我對魔力掌控不熟練所以過來修練..,sad,,,,,,,,,
,Choose,,,,那也不用到這吧?|我看妳施展魔法很順利一定有刻苦學習。,?|Good,,,,,,
,JailerGirl,也...也是...,sad,,,,,,,,?,
,JailerGirl,但這是我們這些鄉下人唯一的渠道...,sad,,,,,,,,,
,Hero,原來魔法是被控管的嗎?,,,,,,,,,,
,JailerGirl,至少一般家庭不會接觸到...,sad,,,Next,,,,,,
,JailerGirl,也...沒那麼厲害啦...,shy,,,,,,,,Good,
,JailerGirl,嘿嘿♪,happy,,,,,,Affinity_20,,,
,,雫的心情明顯的好了很多。,,,,,,,,,,
,Hero,那有什麼理由一定要來監獄學嗎?,,,,,,,,,Next,
,JailerGirl,這...這裡每週會固定上課...,normal,,,,,,,,,
,JailerGirl,典獄長每週會開課教學。,normal,,,,,,,,,
,JailerGirl,只是我都學不好...,sad,,,,,,,,,
,Choose,,,,那典獄長一定教得很爛。|我不是很懂魔法只能幫你加油...,Bad|Nice,,,,,,
,Hero,反正不是你的問題！,,,,,,,,,Bad,
,JailerGirl,沒...沒這回事...,angry,,,,,jump,,,,
,JailerGirl,典...典獄長教我們時都很認真的！,sad,,,,,,,,,
,Hero,抱...抱歉...是我說錯話了。,,,,,,,,,,
,JailerGirl,沒...沒關係...,normal,,,,,,,,,
,JailerGirl,都是我才能不足的問題...,sad,,,,,,,,,
,Hero,至少比我好，別難過了...,,,,,,,,,,
,,雫看起來心情更低落了。,,,,,,,,,,
,,或許下次需要更細膩的開導對方。,,,,,,,,,,
END,,,,,,,,,,,,
,JailerGirl,謝...謝謝♪,happy,,,,,jump,Affinity_30,,Nice,
,JailerGirl,這樣就很好了...,normal,,,,,,,,,
,Hero,但我相信我的發明一定能幫助到你！,,,,,,,,,,
,JailerGirl,嗯！,happy,,,,,,,,,
,,雫似乎暫時忘記了陰鬱的情緒。,,,,,,,,,,
END,,,,,,,,,,,,
