Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag
Prologue1_5,JailerGirl,就是這裡。,normal,Center,,,,,,Jail_bg,
,,雫轉動一旁火把。,,,,,,,,,
,,旁邊牆壁隨著震動打了一個隱藏空間。,,,,,shake,,,,
,JailerGirl,跟...跟我進來。,normal,,,,,hide,,,
,Hero,想不到有暗門呀...,,,,,,,,,
,,<進入密室>,,,,,,,,P_Room_bg,
,,隨著燈光亮起，眼前是一個臥室一樣配置。,,,,,,,,,
,,幾張床、桌子，中央還有一個營火，顯得格外溫馨。,,,,,,,,,
,Hero,這裡是?,,,,,,,,,
,JailerGirl,這是平..平常獄卒休息的地方。,normal,Center,,,,,,,
,JailerGirl,監獄每隔一段距離就有一間。,normal,,,,,,,,
,Hero,像這種密室應該連怪物都找不到吧！,,,,,,,,,
,JailerGirl,嗯！,happy,,,,,,,,
,Hero,竟然暫時安全了，那也該想想之後的對策。,,,,,,,,,
,Hero,你會幾種魔法?,,,,,,,,,
,JailerGirl,兩...兩種，而且不是很熟練。,sad,,,,,,,,
,Hero,那情況可能有點嚴峻呀...,,,,,,,,,
,JailerGirl,對...對不起。,sad,,,,,,,,
,Hero,啊...抱歉！沒有要責怪你的意思...,,,,,,,,,
,Hero,對了！好像之前聽其他犯人說過。,,,,,,,,,
,Hero,東邊的牢房有個人在販賣魔法。,,,,,,,,,
,Hero,只要付一點錢就會教你的樣子。,,,,,,,,,
,JailerGirl,真...真的嗎?,happy,,,,,,,,
,Hero,雖然我也沒真的看過就是了。,,,,,,,,,
,JailerGirl,這樣嗎?,sad,,,,,,,,
,Hero,總之先休息下就往東邊牢房看看吧。,,,,,,,,,
,JailerGirl,嗯...,normal,,,,,,,,
,,其實也不知道是不是真的就是了。,,,,,,,,,
,,算了總比繼續待在這好多了。,,,,,,,,,
END,,,,,,,,,,,
