Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag
Prologue1_2,,<監獄走廊>,,,,,,,,jail,
,,走廊內環境昏暗，但有零星火把點亮著通道。,,,,,,,,,
,,但不同以往的四周隱約傳來哀嚎與吼叫聲。,,,,,,,,,
,,嗚...嗚...嗚嗚嗚,,,,,,,,,
,Hero,哇...現在這樣亂可怕的...,,,,,,,,,
,Hero,感覺好像鬼屋一樣...,,,,,,,,,
,,嗚嗚嗚嗚嗚嗚...,,,,,,,,,
,,隨著通道繼續走下去，先前的哭泣聲越來越清晰。,,,,,,,,,
,Hero,等等！這聲音?好熟悉阿！,,,,,,,,,
,,不遠處的火光之下，一位白髮少女跪坐在那邊啜泣。,,,,,,,,,
,JailerGirl,嗚嗚嗚...好可怕！我想回家！,sad,Center,,,,,,,
,Hero,這不是獄卒小姐嗎?怎麼坐在這邊哭?,normal,,,,,,,,
,JailerGirl,你...你是！?,scare,,,,,,,,
,JailerGirl,你...你怎麼在這裡！回到你的牢房內！,angry,,,,,,,,
,Hero,別這麼緊張，現在很多人都跑出來了，不差我一個。,happy,,,,,,,,
,JailerGirl,嗚嗚嗚...為什麼會碰到這種事...,sad,,,,,,,,
,Choose,,,,沒事吧?別哭了...|閉嘴女人把衣服脫了！,Good|Bad,,,,,
,Hero,沒事吧?別哭了...,,,,,,,,,Good
,Hero,最見不得可愛女性的眼淚了...,,,,,,,,,
,,我伸手抹去她的眼淚。,,,,,,,,,
,JailerGirl,??,shy,,,,,,,,
,Hero,冷靜下來了嗎?,,,,,,,,,
,JailerGirl,嗯...,shy,,,,,,,,
,Hero,可以跟我說說為什麼獨自在這哭嗎?,,,,,,,,,
,JailerGirl,附近都被怪物佔領了！還有同事在我面前倒下...,sad,,,,,,,,
,JailerGirl,而我卻拋下她們逃跑了...,sad,,,,,,,,
,Hero,你們不是會魔法嗎?應該打得很輕鬆吧?,,,,,,,,,
,JailerGirl,都是我害的...其實我魔力控制很差勁...,sad,,,,,,,,
,JailerGirl,在緊要關頭發不出魔法才害到他們。,sad,,,,,,,,
,,眼前少女又再次哭了起來。,,,,,,,,,
,,如果把她獨自留在這邊，那下個受害的就只會是她了。,,,,,,,,,
,Hero,總之我們先走吧！,,,,,,,,,
,JailerGirl,去...去哪裡?,sad,,,,,,,,
,Hero,外面或安全的地方都可以。,,,,,,,,,
,JailerGirl,可是外面都是怪物去哪都不安全。,sad,,,,,,,,
,,看來她還是很不安。,,,,,,,,,
,,對了我還有這個！,,,,,,,,,
,Hero,其實我正在研發這個。,,,,,,,,,
,,將正在研發的魔力輔助裝置給她看。,,,,,,,,,
,JailerGirl,這個是?,normal,,,,,,,,
,Hero,這是我的世紀發明，用於輔助魔力運轉。,,,,,,,,,
,Hero,可惜還差一點材料，功能還不齊全。,,,,,,,,,
,Hero,你看起來很適合當第一位使用者！,,,,,,,,,
,JailerGirl,輔助...魔力?運轉?,sad,,,,,,,,
,JailerGirl,真的嗎?,happy,,,,,,,,
,,眼前少女雙眼放光的盯著這件寶貝。,,,,,,,,,
,Hero,沒錯！唯一美中不足的是有點隨機性。,,,,,,,,,
,Hero,儘管如此它依舊是我最高的傑作。,,,,,,,,,
,Hero,考慮的如何?,,,,,,,,,
,,少女看似有點猶豫，但貌似下定了決心。,,,,,,,,,
,JailerGirl,好！,normal,,,,,jump,,,
,,這是少女目前聲音最大的一次。,,,,,,,,,
,,看來能操控魔法對它吸引力很大。,,,,,,,,,
,Hero,重新介紹一次我叫{PlayerName}。,,,,,,,,,
,JailerGirl,我..我叫雫．賽加羅。,normal,,,,,,,,
,Hero,請多指教，雫。,,,,,,,,,
,,準備握手時地震又開始了。,,,,,shake,,,,
,JailerGirl,呀！！！,scare,,,,,run,,,
,,隨著牆壁震動出現一個大洞怪物從裡面魚貫而入。,,,,,,,,,
,Hero,好像不太妙我們先找一個安全的地方。,,,,,,,,,
,JailerGirl,跟我來！,normal,,,,,jump,,,
,,雫貌似有了主意，先跟上吧。,,,,,,,,,
END,,,,,,,,,,,
,Hero,閉嘴女人把衣服脫了！,,,,,,,,,Bad
,Choose,,,,老子早就想上你了！|我是說哭是解決不了問題的。,Dieroad|Good,,,,,
,Hero,老子早就想上你了！,,,,,,,,,Dieroad
,JailerGirl,不...不要過來！我會用魔法的！,angry,Center,,,,jump,,,
,Hero,會又如何?我就不信你敢攻擊我！,,,,,,,,,
,JailerGirl,呀！！！,scare,,,,,jump,,,
,,隨著一聲爆炸，你似乎忘記當人極度害怕時什麼都做得出來。,,,,,,,,,
,Hero,我...我只是口嗨一下，你真的攻擊呀...,,,,,,,,,
,,鮮血從全身流淌而出，而你也結束了這罪孽的一生。,,,,,,,,,
Die,,,,,,,,,,,
