Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound,
Affinity_JailerGirl_14,,<整備室>,,,,,,,,bg_jail,,Bgm_Story1,
,,一縷香氣自整備室的角落飄散而來。,,,,,,,,,,,
,Hero,好香！,,,,,,,,,,,
,JailerGirl,啊...你醒了...,normal,Center,,,,,,,,,
,JailerGirl,剛...剛好煮好了，要吃嗎?,happy,,,,,,,,,,
,,遞到面前的，是一碗熱氣蒸騰的湯。,,,,,,,,,,,
,Hero,在這種鬼地方還能煮出這種東西...,,,,,,,,,,,
,Hero,你的手藝真的很好耶。,,,,,,,,,,,
,JailerGirl,這...這是典獄長教的...,shy,,,,,,,,,,
,Choose,,,,想多知道一點典獄長的事|老實說她比較適合廚房吧,Warden|Cook,,,,,,,
,Hero,說起來你比較適合待在廚房吧?,,,,,,,,,Cook,,
,JailerGirl,果...果然我還是不適合魔法嗎...,sad,,,,,,,,,,
,Hero,我不是那個意思...,,,,,,,,,,,
,,又踩中地雷了。,,,,,,,,,,,
,JailerGirl,沒關係...我知道自己的斤兩...,sad,,,Talk,,,,,,,
,Hero,典獄長還會教這個喔?,,,,,,,,,Warden,,
,JailerGirl,嗯...典獄長每週都會親自下廚。,normal,,,,,,,,,,
,JailerGirl,囚犯和獄卒的伙食，全部都是她做的。,happy,,,,,,,,,,
,Hero,全部!?那不是好幾百人份?,,,,,,,,,,,
,JailerGirl,典獄長很厲害的！,happy,,,,,jump,Affinity_10,,,,
,JailerGirl,魔法、劍術、料理、記帳...她什麼都會。,normal,,,,,,,,,,
,JailerGirl,而且不管是貴族還是平民，她都一樣對待...,normal,,,,,,,,,,
,Hero,聽起來是個好人。,,,,,,,,,Talk,,
,JailerGirl,嗯...我剛來的時候什麼都不會...,normal,,,,,,,,,,
,JailerGirl,連湯都會煮到燒焦...,sad,,,,,,,,,,
,JailerGirl,那時候大家都笑我，只有典獄長沒有。,normal,,,,,,,,,,
,JailerGirl,她說「不會就學，學不會就多學幾次」。,happy,,,,,,,,,,
,JailerGirl,然後就站在旁邊，陪我煮到半夜...,normal,,,,,,,,,,
,,雫凝視著火光，握著湯勺的手不覺收緊。,,,,,,,,,,,
,JailerGirl,所以...我更沒有臉見她了...,sad,,,,,,,,,,
,Hero,為什麼?,,,,,,,,,,,
,JailerGirl,我丟下同事逃跑了...,sad,,,,,,,,,,
,JailerGirl,現在還跟囚犯一起想逃出去...,sad,,,,,,,,,,
,JailerGirl,我根本就是叛徒...,sad,,,,,,,,,,
,,熱湯騰起的白煙，遮去了她的神情。,,,,,,,,,,,
,Choose,,,,先讓她放過自己吧|乾脆給她一個目標,Live|Save,,,,,,,
,Hero,你那時候留下來，也只是多一個人倒下而已。,,,,,,,,,Live,,
,Hero,活下來，才有機會去彌補啊。,,,,,,,,,,,
,JailerGirl,活下來...,normal,,,,,,,,,,
,JailerGirl,嗯...我會記住的...,sad,,,,,,Affinity_20,,,,
,,雫緊繃的神情稍稍舒緩了些。,,,,,,,,,,,
,,只是那份自責，恐怕還需要很長的時日才放得下。,,,,,,,,,,,
END,,,,,,,,,,,,,
,Hero,那就把大家都救出去，這樣就不算叛徒了吧?,,,,,,,,,Save,,
,JailerGirl,咦!?可...可是外面那麼多怪物...,scare,,,,,jump,,,,,
,Hero,我有這個，你有魔法，還有賽蕾絲跟真琴。,,,,,,,,,,,
,Hero,而且你的湯這麼好喝，多救幾個人回來喝也不虧啊。,,,,,,,,,,,
,JailerGirl,那...那是什麼理由啦...,shy,,,,,,,,,,
,,雫噗嗤一聲，笑了出來。,,,,,,,,,,,
,,這是相識以來，第一次聽見她的笑聲。,,,,,,,,,,,
,JailerGirl,嗯！我們一起把大家救出去！,happy,,,,,jump,Affinity_30,,,,
,Hero,這才對嘛！,,,,,,,,,,,
,JailerGirl,那...那個...,normal,,,,,,,,,,
,JailerGirl,出去以後...可以再煮給你吃嗎?,shy,,,,,,,,,,
,Hero,當然！我等著。,,,,,,,,,,,
,,你與雫，約定了下一碗湯。,,,,,,,,,,,
END,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
