Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound,
event_15,,<中央大廳 人聲鼎沸處>,,,,,,,,,,Bgm_Story1,
,,不遠處有個肥宅囚犯將周邊散落一地。,,,,,,,,,,,
,,你基於好奇決定去幫他撿順便看看這是什麼。,,,,,,,,,,,
,Hero,我來幫你吧！,,,,,,,,,,,
,fatguy,喔...喔喔！,normal,Center,,,,,,,,,
,fatguy,謝謝！今天人實在太多了...呼呼...,normal,,,,,,,,,,
,Hero,對阿！今天到底是什麼活動阿?,,,,,,,,,,,
,fatguy,你...你竟然不知道就跑來嗎?,normal,,,,,,,,,,
,fatguy,真是的...所以我就說一日粉絲吼...,normal,,,,,,,,,,
,,眼前肥宅瞧不起你開始用高高在上的語氣跟你說話。,,,,,,,,,,,
,Hero,喔...我就問問...,,,,,,,,,,,
,fatguy,哼...沒辦法...,normal,,,,,,,,,,
,fatguy,誰叫帶你們這些新粉是老粉的義務，就好好謝謝我吧！,normal,,,,,,,,,,
,Hero,哦...謝謝...,,,,,,,,,,,
,WolfGirl,主人！不要跟這沒禮貌的人說話！,angry,Right,,,,jump,,,,,
,fatguy,哪來的野狗！？,,,,,,,,,,,
,WolfGirl,你說什麼！,angry,Right,,,,hide,,,,,
,,在真琴準備大鬧一通前，賽蕾絲與雫一起將她帶到了遠處。,,,,,,,,,,,
,fatguy,咳哼！雖然有隻野狗跳出來亂，你就豎起耳朵聽吧！,normal,,,,,,,,,,
,,聽到這你顯然開始生氣，但為了情報只好忍耐。,,,,,,,,,,,
,fatguy,今天！是無敵軟萌呼哇呼哇【里莎醬】的突擊演唱會！,normal,,,,,,,,,,
,Hero,無敵...呼哇...里什麼?,,,,,,,,,,,
,fatguy,是里莎醬！她是監獄中央區的偶像！,normal,,,,,jump,,,,,
,fatguy,最疼愛我們這些粉絲了！又可愛唱歌也好聽。,normal,,,,,,,,,,
,fatguy,而且上次還做效果把牆壁給打碎了。,normal,,,,,,,,,,
,fatguy,雖然手斷了到前幾天才康復。,normal,,,,,,,,,,
,Hero,不不不！正常哪個女生可以把牆壁打碎?,,,,,,,,,,,
,fatguy,噗~想也知道那牆是假的吧！,normal,,,,,jump,,,,,
,fatguy,只是沒想到里莎醬這麼瘦弱，打假牆也會受傷。,normal,,,,,,,,,,
,Hero,是...是這樣嗎?,,,,,,,,,,,
,fatguy,你看我有買她周邊喔！,normal,,,,,jump,,,,,
,,肥宅像是炫耀戰利品般給你看他的收藏。,,,,,,,,,,,
