Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound,
Affinity_JailerGirl_16,,<整備室>,,,,,,,,bg_jail,,Bgm_Story1,
,,雫抱著膝蓋，一直盯著通往外面的那條通道。,,,,,,,,,,,
,Hero,看什麼看得那麼專心?,,,,,,,,,,,
,JailerGirl,呀！,scare,Center,,,,jump,,,,,
,JailerGirl,沒...沒有！我什麼都沒看！,shy,,,,,,,,,,
,Hero,可是你剛剛一直盯著那邊耶。,,,,,,,,,,,
,JailerGirl,嗚...,sad,,,,,,,,,,
,JailerGirl,我只是在想...,sad,,,,,,,,,,
,JailerGirl,出去以後，要去哪裡...,sad,,,,,,,,,,
,Choose,,,,她家裡不是還在嗎|說起來我也沒地方去,Home|Same,,,,,,,
,Hero,回真心鎮不就好了?,,,,,,,,,Home,,
,JailerGirl,......。,sad,,,,,,,,,,
,JailerGirl,我跟家裡說...我在監獄工作得很好。,sad,,,,,,,,,,
,Hero,啊…,,,,,,,,,,,
,JailerGirl,我說我在學魔法，說我很有用...,sad,,,,,,,,,,
,JailerGirl,結果我連同事都保護不了，還逃跑了。,sad,,,,,,,,,,
,JailerGirl,這樣回去...我不知道要怎麼說。,sad,,,Both,,,,,,,
,Hero,講起來，我也沒地方去啊。,,,,,,,,,Same,,
,JailerGirl,咦?,scare,,,,,,,,,,
,Hero,我刑期還沒滿，現在這樣等於越獄。,,,,,,,,,,,
,Hero,回去要加刑，不回去就是通緝犯。,,,,,,,,,,,
,JailerGirl,那...那不是很慘嗎!?,scare,,,,,jump,,,,,
,Hero,是啊，很慘。,,,,,,,Affinity_10,,,,
,Hero,不過你也差不多吧?,,,,,,,,,Both,,
,JailerGirl,嗚...,sad,,,,,,,,,,
,JailerGirl,我...我是擅離職守...,sad,,,,,,,,,,
,JailerGirl,還幫犯人逃出去...,sad,,,,,,,,,,
,Hero,所以你現在也回不去了。,,,,,,,,,,,
,JailerGirl,嗯...,sad,,,,,,,,,,
,,她把臉埋進膝蓋裡，聲音悶得幾乎聽不見。,,,,,,,,,,,
,JailerGirl,我從來沒有想過...,sad,,,,,,,,,,
,JailerGirl,自己會變成無處可去的人。,sad,,,,,,,,,,
,Hero,......。,,,,,,,,,,,
