Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound
Prologue5_4,,<南側動力室．前廳>,,,,,,,,bg_jail,,
,,南側動力室的前廳，原本似乎是獄卒的休息室。,,,,,,,,,,
,,倒塌的櫃子、翻倒的椅子，還有滿地的撲克牌。,,,,,,,,,,
,JailerGirl,這裡也是休息室...大家換班的時候會在這裡打牌。,normal,Center,,,,,,,,
,Hero,都在這裡摸魚嗎?,,,,,,,,,,
,JailerGirl,我...我沒有喔！,scare,,,,,jump,,,,
,JailerGirl,因為沒有朋友…,sad,,,,,hide,,,,
,,雫一臉失落的縮到角落。,,,,,,,,,,
,Witch,啊啦♪ 這副牌上沾了不少魔力呢♪,happy,Left,,,,,,,,
,Witch,它被人摸了幾十年，又泡在洩漏的爐心魔力裡...,normal,,,,,,,,,
,Hero,那會怎樣?,,,,,,,,,,
,Witch,會這樣囉♪,happy,,,,,hide,,,,
,,地上的撲克牌唰地立了起來。,,,,,,,,,,
,PokerA,擊碎黑暗！黑桃十——！,normal,Center,,,,jump,,,,
,PokerA,,normal,,,,,hide,,,,
,PokerA,劃破天際！黑桃J——！,normal,Left,,,,jump,,,,
,PokerA,,normal,,,,,hide,,,,
,PokerA,美麗絢爛！黑桃Q——！,normal,Center,,,,jump,,,,
,PokerA,,normal,,,,,hide,,,,
,PokerA,逆轉戰局！黑桃K——！,normal,Right,,,,jump,,,,
,PokerA,,normal,,,,,hide,,,,
,PokerA,還有無限勇氣！黑桃A！,normal,Center,,,,jump,,,,
,PokerA,,normal,,,,,hide,,,,
,,五張撲克士兵排成一列，唰唰唰地疊了起來。,,,,,,,,,,
,Hero,等等，那是...,,,,,,,,,,
,PokerKing,有博弈的地方，就有我們的身影！牌連者撲~克~王~！,normal,Center,,,,bigCenter,,,,
,,五張牌合體成一個高得離譜的撲克人，居高臨下地看著你們。,,,,,,,,,,
,PokerKing,哼哼哼…,normal,Center,,,,bigCenter_Off,,,,
,WolfGirl,好大！,scare,Left,,,,jump,,,,
,WolfGirl,,scare,,,,,hide,,,,
,PokerKing,為金幣迷茫的亡命之徒阿。,normal,,,,,,,,,
,PokerKing,想過去，先跟本王賭一把。,happy,,,,,,,,,
,Hero,賭?,,,,,,,,,,
,PokerKing,贏了，放你們過去。,happy,,,,,,,,,
,PokerKing,輸了，你們就留下來當我的牌！,angry,Center,,,,bigCenter,,,,
,PokerKing,如何?,happy,Center,,,,bigCenter_Off,,,,
,Idol_Sp,唔！唔唔唔！！,sm,Right,,,,jump,,,,
,Idol_Sp,,sm,,,,,hide,,,,
,,粽子用盡全身力氣滾到你腳邊，激動得整條都在抖。,,,,,,,,,,
,Hero,幹嘛啦。,,,,,,,,,,
,Hero,...好啦好啦，讓你講一句話。,,,,,,,,,,
,,你取下她的口球與眼罩。,,,,,,,,,,
,Idol_Sp,壓！壓全部！全壓！,happy,Right,,,,jump,,,,
,Idol_Sp,這種牌桌我閉著眼睛都能贏——,happy,,,,,,,,,
,WolfGirl,嗷。,normal,Left,,,,hide,,,,
,,口球與眼罩又回去了。,,,,,,,,,,
,Idol_Sp,唔唔唔唔！！,sm,,,,,hide,,,,
,JailerGirl,那、那個...現在怎麼辦?,scare,Left,,,,hide,,,,
,Choose,,,,有輸過沒怕過！|抱歉，我這人只信拳頭。,Bet|Fist,,,,,,
,Hero,好啊！賭就賭！,,,,,,,,,Bet,
,,你豪氣地把身上的金幣拍在桌上。,,,,,,,,,,
,PokerKing,爽快。,happy,,,,,,,,,
,,撲克王隨手一翻——五張同花順。,,,,,,,MoneyDiff_10,,,
,Hero,...,,,,,,,,,,
,Hero,你本人就是同花順啊!?,,,,,,,,,,
,PokerKing,沒錯。,happy,,,,,,,,,
,Idol_Sp,唔——！！！,sm,Right,,,,jump,,,,
,Idol_Sp,,sm,,,,,hide,,,,
,Witch,她說『白痴』喔♪,happy,Left,,,,hide,,,,
,JailerGirl,錢...錢都沒了...,sad,Left,,,,hide,,,,
,Hero,可惡！那就用拳頭要回來！,,,,,,,,,,
,PokerKing,哼，願賭服輸。,angry,Center,,Fight,,bigCenter,,,,
,Hero,誰理你啊，吃我一拳！,,,,,,,,,Fist,
,PokerKing,不懂情趣的傢伙。,angry,,,,,bigCenter_Off,,,,
,JailerGirl,大...大家小心！,scare,Left,,,,jump,,,,
,JailerGirl,它是靠爐心洩漏的魔力撐著的...,normal,,,,,,,,,
,JailerGirl,只要把牌打散，爐子就能重啟！,happy,,,,,hide,,,,
,Hero,聽到了嗎? 拆牌！,,,,,,,,,,
,WolfGirl,嗷嗚——！,happy,Left,,,,run,,,,
,WolfGirl,,happy,,,,,hide,,,,
,,真琴衝出去前，順手把粽子踢到牆角。,,,,,,,,,,
,Idol_Sp,唔哇！,sm,Right,,,,hit,,,,
,Idol_Sp,,sm,,,,,hide,,,,
,PokerKing,放肆！,angry,Center,,,,,,,,
,PokerKing,來吧，讓本王開牌。,angry,Center,,,,,,,Fight,
,WolfGirl,主人！我手上還拖著這傢伙！,angry,Left,,,,jump,,,,
,Hero,...放她出來。,,,,,,,,,,
,WolfGirl,好吧…,sad,,,,,hide,,,,
,JailerGirl,咦!? 真、真的要放嗎?,scare,Left,,,,hide,,,,
,,真琴一口咬斷繩子，棉被嘩地攤了開來。,,,,,,,,,,
,Idol,咳！咳咳...！,angry,Right,,,,jump,,,,
,Idol,先講好，我才不會幫你們喔。,angry,,,,,,,,,
,PokerKing,小姑娘，你也想當我的牌嗎?,happy,,,,,,,,,
,Idol,...,scare,,,,,,,,,
,Idol,牌?,normal,,,,,,,,,
,Idol,我一張簽名照賣一百金幣耶。,angry,,,,,,,,,
,Idol,印成撲克牌一副五十? 開什麼玩笑！,angry,,,,,jump,,,,
,Hero,所以你要打?,,,,,,,,,,
