Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound
Prologue5_2,,<北側動力室>,,,,,,,,bg_jail,,
,,北側動力室的門是敞開的。,,,,,,,,,,
,,空氣裡有股鐵鏽混著甜膩的味道。,,,,,,,,,,
,Hero,這味道...,,,,,,,,,,
,Witch,別吸太多喔♪ 這是魔力腐敗的味道♪,normal,Left,,,,,,,,
,,房間中央是一座巨大的魔力爐，此刻完全沉寂。,,,,,,,,,,
,JailerGirl,爐心停了...,sad,Center,,,,,,,,
,JailerGirl,只要重新接上迴路就可以——,normal,,,,,,,,,
,,話說到一半，雫停住了。,,,,,,,,,,
,,爐前的地上，散落著半截被撕爛的獄卒制服。,,,,,,,,,,
,JailerGirl,那個...那個是...,scare,,,,,jump,,,,
,,陰影裡傳來拖著腳步的聲音。,,,,,,,,,,
,Zombie,啊...啊啊...,normal,Right,,,,jump,,,,
,Hero,什麼東西!?,,,,,,,,,,
,JailerGirl,鈴...學姐?,scare,,,,,,,,,
,Hero,你認識?,,,,,,,,,,
,JailerGirl,是我同期的前輩...,sad,,,,,,,,,
,JailerGirl,地震那時，她讓我先跑...,sad,,,,,,,,,
,JailerGirl,然後我…我就...我就真的跑了…,sad,,,,,,,,,
,Zombie,雫...醬...,sad,,,,,jump,,,,
,JailerGirl,學姐！,happy,,,,,run,,,,
,Witch,別過去！,angry,Left,,,,jump,,,,
,,賽蕾絲一把拉住了雫。,,,,,,,,,,
,Witch,他已經不是你認識的那個人了…,angry,,,,,hide,,,,
,JailerGirl,不會的！,sad,,,,,hide,,,,
,Zombie,雫...醬...啊啊啊啊——！,angry,Center,,,shake,bigCenter,,,,
,,那已經不是人的聲音了。,,,,,,,,,,
,Zombie,啊啊啊啊——！,angry,,,,,bigCenter_Off,,,,
,Idol_Sp,唔唔唔！！唔——！,sm,Left,,,,jump,,,,
,,粽子拼命往門口的方向滾。,,,,,,,,,,
,Idol_Sp,唔——！,sm,,,,,hide,,,,
,WolfGirl,喂！別亂跑！,angry,Left,,,,jump,,,,
,Witch,魔力腐敗到極限的下場...她回不來了…,sad,Right,,,,,,,,
,WolfGirl,看來只能解決它了…,angry,,,,,hide,,,,
,JailerGirl,不要...,sad,Left,,,,jump,,,,
,Choose,,,,這是我的責任，讓我來。|你別看，退到後面去。,Face|Back,,,,,,
,Hero,雫。,,,,,,,,,Face,
,Hero,你要讓她一直這樣下去嗎?,,,,,,,,,,
,JailerGirl,我...,sad,,,,,,,,,
,Hero,那天你沒能回頭…,,,,,,,,,,
,Hero,但今天可以！,,,,,,,,,,
,JailerGirl,...嗯。,normal,,,,,jump,,,,
,,雫帶上輔助裝置，第一次自己站到了最前面。,,,,,,,,,,
,JailerGirl,學姐，我來接你回家。,angry,,,,,hide,Affinity_10,,,
,Witch,願逝者安息…,sad,,,,,hide,,,,
,Zombie,啊啊啊——！,angry,Center,,,shake,bigCenter,,,,
BATTLE,,,,,,,,,,,,
,Hero,退後！這種事不用你來！,,,,,,,,,Back,
,,將雫往後一推，擋在她和學姐之間。,,,,,,,,,,
,JailerGirl,可、可是！,scare,Left,,,,jump,,,,
,JailerGirl,,scare,,,,,hide,,,,
,Zombie,啊啊啊！,angry,Center,,,,bigCenter,,,,
,,利爪擦過你的肩膀。,,,,,shake,,BloodDiff_10,,,
,Hero,唔！,,,,,,,,,,
,Zombie,啊…,angry,,,,,bigCenter_Off,,,,
,JailerGirl,你受傷了！,sad,Left,,,,jump,,,,
,Hero,小心點，她來了！,,,,,,,,,,
BATTLE,,,,,,,,,,,,
,,,,,,,,,,,,
