Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound
Prologue5_5,,<南側動力室>,,,,,,,,bg_jail,,
,,五張牌被打散，撲克王像被抽掉骨頭一樣癱了下來。,,,,,,,,,,
,PokerKing,呃...本王的...同花順...,sad,Center,,,,jump,,,,
,PokerKing,下次...不會再輸了...,sad,,,,,hide,,,,
,,撲克牌散落一地，恢復成普通的紙牌。,,,,,shootWhite,,,,,
,,牌堆底下，露出了剛才被吞進去的金幣。,,,,,,,,,,
,Idol,錢！,happy,Right,,,,run,,,,
,,里莎整個人撲上去，把金幣往懷裡掃。,,,,,,,,,,
,Hero,喂，那是我的錢。,,,,,,,,,,
,Idol,現在是我的了。,happy,,,,,,,,,
,WolfGirl,主人，我幫你拿。,happy,Left,,,,run,,,,
,,真琴單手把里莎拎起來抖了抖，金幣嘩啦嘩啦掉了一地。,,,,,,,MoneyAdd_10,,,
,Idol,放開我啦！我剛剛可是有幫忙耶！,angry,,,,,jump,,,,
,Hero,幫忙的部分我很感謝。,,,,,,,,,,
,Hero,但你剛剛把錢都順手了。,,,,,,,,,,
,Idol,...,scare,,,,,hide,,,,
,WolfGirl,嗷。,normal,Left,,,,hide,,,,
,,棉被、繩子、口球、眼罩，全部回到了原位。,,,,,,,,,,
,Idol_Sp,唔唔唔唔！！,sm,Right,,,,jump,,,,
,Idol_Sp,,sm,,,,,hide,,,,
,Hero,辛苦了。,,,,,,,,,,
,,你撿起地板上的黑桃A。,,,,,,,,,,
,Hero,喔喔，當紀念品剛剛好。,,,,,,,,,,
,,黑桃A旁邊還有幾枚齒輪。,,,,,,,GearAdd_2,,,
,JailerGirl,我來啟動爐子。,normal,Center,,,,hide,,,,
,,雫熟練地接上魔力迴路，第二座爐心亮了起來。,,,,,shake,,,,,
,,整條走廊、整座監獄的燈，一盞一盞地亮了。,,,,,,,,,,
,Witch,啊啦♪好久沒看到這麼亮的監獄♪,happy,Left,,,,,,,,
,WolfGirl,我去前面看看有沒有吃的！,normal,Center,,,,run,,,,
,WolfGirl,嗷嗚~,happy,,,,,hide,,,,
,Witch,我也去♪ 順便看著她♪,happy,,,,,hide,,,,
,,真琴走的時候，很自然地把粽子一起拖走了。,,,,,,,,,,
,Idol_Sp,唔唔唔——,sm,Right,,,,hide,,,,
,,一轉眼，動力室裡只剩下你和雫兩個人。,,,,,,,,,,
,JailerGirl,...,shy,Center,,,,,,,,
,,雫從口袋裡拿出學姐的徽章，別在自己胸口。,,,,,,,,,,
,JailerGirl,我一直覺得...自己不配拿到這個。,normal,,,,,,,,,
,JailerGirl,魔力最差、跑得最慢、還丟下同伴。,sad,,,,,,,,,
,JailerGirl,甚至還想要逃跑…,,,,,,,,,,
,Hero,那現在呢?,,,,,,,,,,
,JailerGirl,現在?,normal,,,,,,,,,
,JailerGirl,我想當一個...能不被保護的人。,happy,,,,,jump,,,,
,JailerGirl,你們每一個都有特長，我一定會加倍學習。,happy,,,,,,,,,
,Hero,那我可以放心了。,,,,,,,,,,
,Choose,,,,信任她吧。|讓場面輕鬆點吧?,Trust|Joke,,,,,,
,Hero,那我就把命交給你了，獄卒小姐。,,,,,,,,,Trust,
,JailerGirl,！,shy,,,,,jump,,,,
,JailerGirl,那...那個...,shy,,,,,,,,,
,,雫低著頭，小聲地伸出手，抓住了你的衣角。,,,,,,,,,,
,JailerGirl,不會丟下你們的。,shy,,,,,,,,,
,JailerGirl,這次，絕對不會。,happy,,,,,,Affinity_10,,,
,,爐心的橘光映在她臉上，紅得看不出是燈，還是別的原因。,,,,Go,,,,,,
,Hero,你還是躲在角落的樣子比較可愛。,,,,,,,,,Joke,
,Hero,我會保護你的。,,,,,,,,,,
,JailerGirl,啊...,sad,,,,,,,,,
,JailerGirl,說...說的也是...,sad,,,,,,,,,
,,剛剛才亮起來的表情，一下子又暗了下去。,,,,,,,,,,
,Hero,(糟糕。),,,,,,,,,,
,JailerGirl,那...那我們走吧。,normal,,,,,,,,,
,WolfGirl,主人——！前面的路通了！,happy,Left,,,,run,,,Go,
,Witch,隔離門那邊有動靜囉♪,happy,Right,,,,,,,,
,Hero,來了！,,,,,,,,,,
,JailerGirl,最後就是監控室了。,normal,Center,,,,,,,,
,JailerGirl,把總閘拉下來，那扇門就會開。,happy,,,,,jump,,,,
,,一行人浩浩蕩蕩準備前往監控室。,,,,,,,,,,
END,,,,,,,,,,,,
