Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound,
Affinity_JailerGirl_13,,<整備室>,,,,,,,,bg_jail,,Bgm_Story1,
,,整備室的角落，傳來規律而細微的聲響。,,,,,,,,,,,
,Hero,這個聲音是...?,,,,,,,,,,,
,JailerGirl,啊！,scare,Center,,,,jump,,,,,
,JailerGirl,被...被看到了...,shy,,,,,,,,,,
,,雫手中握著兩根棒針，膝上擱著一團淺色毛線。,,,,,,,,,,,
,Hero,你在織毛衣?,,,,,,,,,,,
,JailerGirl,嗯...這是我唯一比較會的東西...,normal,,,,,,,,,,
,JailerGirl,魔法怎麼練都練不好...至少這個不會失敗...,sad,,,,,,,,,,
,Choose,,,,誇她一下好了|有點好奇她怎麼開始學的,Praise|Why,,,,,,,
,Hero,能做出東西就很厲害了好嗎。,,,,,,,,,Praise,,
,JailerGirl,才...才沒有厲害...,shy,,,,,,,,,,
,JailerGirl,這只是拿來打發時間的啦...,normal,,,,,,,,,,
,Hero,我可是連鈕扣都縫不好。,,,,,,,,,,,
,JailerGirl,真...真的嗎?,happy,,,,,jump,Affinity_10,,,,
,JailerGirl,那...那下次我教你...,normal,,,Next,,,,,,,
,JailerGirl,小時候在鎮上...我沒有魔獸，大家都不找我玩...,sad,,,,,,,,Why,,
,JailerGirl,所以奶奶就教我織毛線，讓我有事做。,normal,,,,,,,,,,
,Hero,原來是這樣...,,,,,,,,,,,
,JailerGirl,手在動的時候...就不會一直想東想西了...,shy,,,,,,Affinity_10,,,,
,Hero,話說你現在在織什麼?,,,,,,,,,Next,,
,JailerGirl,這...這個還不能看！,scare,,,,,jump,,,,,
,,雫慌張地將毛線團藏往身後。,,,,,,,,,,,
,,然而從指縫之間，仍隱約透出織到一半的輪廓。,,,,,,,,,,,
,Hero,那個形狀...是毛毛蟲?,,,,,,,,,,,
,JailerGirl,嗚...,shy,,,,,,,,,,
,JailerGirl,我...我很喜歡毛毛蟲...,normal,,,,,,,,,,
,Hero,欸!?你不是最怕可怕的東西嗎?,,,,,,,,,,,
,JailerGirl,毛毛蟲一點都不可怕！,happy,,,,,,,,,,
,JailerGirl,圓圓的、毛毛的，走路還會一節一節的...,happy,,,,,jump,,,,,
,,這是初次見到雫如此神采飛揚的模樣。,,,,,,,,,,,
,JailerGirl,而且...牠們最後都會變成蝴蝶。,normal,,,,,,,,,,
,JailerGirl,明明那麼笨拙...最後還是能飛起來...,sad,,,,,,,,,,
