Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound
Affinity_Witch_16,,<整備室>,,,,,,,,bg_jail,,Bgm_Story1
,Witch,少年，把那個遞給我♪,happy,Center,,,,,,,,
,Hero,...少年。,,,,,,,,,,
,Witch,嗯?,normal,,,,,,,,,
,Hero,你從第一天就一直叫我少年。,,,,,,,,,,
,Witch,是啊，有什麼問題嗎?,happy,,,,,,,,,
,Hero,我也是有名字的。,,,,,,,,,,
,Witch,呵♪我知道呦。,happy,,,,,,,,,
,Witch,不過「少年」比較可愛嘛♪,happy,,,,,jump,,,,
,Choose,,,,我可是有{PlayerName}這帥氣的名子。|算了，隨她高興…,Push|Drop,,,,,,
,Hero,那你叫叫看。,,,,,,,,,Push,
,Witch,......。,normal,,,,,,,,,
,Hero,就一次，叫我的名字。,,,,,,,,,,
,Witch,少年真是的，這麼想被叫嗎♪,happy,,,,,,,,,
,Hero,你又在轉移話題了。,,,,,,,,,,
,Witch,......。,scare,,,Name,,,Affinity_10,,,
,Hero,算了，你高興就好。,,,,,,,,,Drop,
,Witch,嗯♪就是這樣。,happy,,,,,,,,,
,,然而她卻沒有像平常那樣，順勢把話題帶開。,,,,,,,,,,
,Witch,......。,normal,,,,,,,,,
,Witch,少年，你不問了嗎?,normal,,,,,,,,,
,Hero,你不想講就算了啊。,,,,,,,,,,
,Witch,......真是狡猾呢。,sad,,,,,,,,,
,,她嘆了口氣，像是輸給了我。,,,,,,,,,Name,
,Witch,少年，你知道嗎?,normal,,,,,,,,,
,Witch,看不見的人，是靠記憶活的呦。,normal,,,,,,,,,
,Witch,聲音、腳步、名字...記住了就忘不掉。,normal,,,,,,,,,
,Hero,所以名字對你來說...,,,,,,,,,,
,Witch,是一個「記憶點」呦。,normal,,,,,,,,,
,Witch,刻下去就消不掉了。,sad,,,,,,,,,
,,火光在她的眼罩上安靜地晃著。,,,,,,,,,,
,Witch,而且啊。,normal,,,,,,,,,
,Witch,會直呼名字的，只有兩種人。,normal,,,,,,,,,
,Hero,哪兩種?,,,,,,,,,,
,Witch,家人...還有戀人♪,happy,,,,,bigCenter,,,,
,Hero,！！！,,,,,,,,,,
,Witch,現在懂了嗎?,happy,,,,,,,,,
,Witch,姐姐要是叫了，那就不是開玩笑了呦。,normal,,,,,bigCenter_Off,,,,
,,那句話說得很輕，卻讓整個整備室安靜了下來。,,,,,,,,,,
,Choose,,,,我們同甘共苦過就是家人了吧?|不勉強她也沒關係。,Keep|Free,,,,,,
,Hero,那你就記住我的吧。,,,,,,,,,Keep,
,Witch,......。,scare,,,,,,,,,
,Hero,我又不會不見。,,,,,,,,,,
,Hero,我們可以一起出去。,,,,,,,,,,
,Witch,少年，你知道自己在說什麼嗎?,sad,,,,,,,,,
,Hero,知道啊。,,,,,,,,,,
,Hero,家人或戀人，隨你挑一個。,,,,,,,,,,
,Witch,......。,scare,,,,,,,,,
,,很長的一段沉默之後，她低低地喚了一聲。,,,,,,,,,,
,Witch,{PlayerName}。,shy,,,,,bigCenter,,,,
,Hero,！,,,,,,,,,,
,,那是你第一次，從她口中聽見自己的名字。,,,,,,,nameOn,,,
,Witch,......嗯。,shy,,,,,jump,Affinity_30,,,
,Witch,刻下去了，拔不掉囉。,normal,,,,,bigCenter_Off,,,,
,Hero,以後都這樣叫?,,,,,,,,,,
,Witch,不要♪,happy,,,,,,,,,
,Hero,欸!?,,,,,,,,,,
,Witch,還是叫少年好了，比較順口。,happy,,,,,,,,,
,,她笑著把臉轉開，但那一聲你也記住了。,,,,,,,,,,
,,而且你很確定，她比你記得更深刻。,,,,,,,,,,
END,,,,,,,,,,,,
,Hero,那還是別勉強了。,,,,,,,,,Free,
,Witch,呵♪少年真體貼。,happy,,,,,,,,,
,Hero,反正我會一直在旁邊吵你。,,,,,,,,,,
,Hero,你想不記住都難。,,,,,,,,,,
,Witch,......。,scare,,,,,,,,,
,Witch,......真是的。,shy,,,,,,Affinity_20,,,
,,她沒有再說什麼，只是朝著你的方向，安靜地笑了很久。,,,,,,,,,,
END,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
