Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound,
event_14,,<中央大廳 舞台側邊>,,,,,,,,bg_jail,,Bgm_Story1,
,,舞台側邊堆滿了臨時搭起來的器材。,,,,,,,,,,,
,Hero,這些設備...是從哪生出來的啊?,,,,,,,,,,,
,Witch,大概是把獄方的東西整套搬過來了♪,normal,Center,,,,jump,,,,,
,Hero,那不就是偷的嗎...,,,,,,,,,,,
,Witch,沒被發現就不是囉♪,happy,,,,,hide,,,,,
,,器材堆裡有個歪掉的燈架，旁邊還擺著一台正在運轉的擴音器。,,,,,,,,,,,
,Choose,,,,拆下燈架上的零件。|研究一下那台擴音器。,Good|Bad,,,,,Good,,
,,燈架其中的齒輪有綁根繩子直達天花板。,,,,,,,,,,,
,,你踮起腳，把燈架上鬆掉的齒輪拆了下來。,,,,,,,,,,,
,Hero,喔喔！這種規格的齒輪很難得耶！,,,,,,,GearAdd_2,,,,
,JailerGirl,那...那個拆掉，燈不會掉下來嗎...?,normal,Center,,,,,,,,,
,Hero,沒事啦，我只拿不重要的部分。,,,,,,,,,,,
,,頭頂上的燈架發出了細細的金屬聲。,,,,,,,,,,,
,Hero,......我們走快一點好了。,,,,,,,,,,,
,,就在不久的將來會有一名無辜的獄卒被燈架砸中。,,,,,,,,,,,
,,但你永遠不會知道這件事。,,,,,,,,,,,
END,,,,,,,,,,,,,
,Hero,這旋鈕是幹嘛的啊?,,,,,,,,,Bad,,
,,你隨手轉了一下。,,,,,,,,,,,
,,下一秒，一陣尖到不行的聲音貫穿了整個大廳與你的耳膜。,,,,,,,,,,,
,Hero,嗚哇啊啊！,,,,,,,BloodDiff_10,,,,
,WolfGirl,嗷嗚嗚嗚嗚——！,angry,Center,,,,hit,BloodDiff_10,,,,
,,狼人族的聽力是一般人的兩三倍，這使真琴格外痛苦。,,,,,,,,,,,
,fatguy,是誰！誰在搞破壞！,,,,,,,,,,,
,JailerGirl,快...快躲起來...！,scare,Right,,,,jump,,,,,
,,一行人狼狽地縮到器材堆後面。,,,,,,,,,,,
,Witch,少年♪好奇心可是很貴的呢♪,angry,Left,,,,,,,,,
,,面罩下的賽蕾絲貌似有點生氣了。,,,,,,,,,,,
,Hero,抱...抱歉。,,,,,,,,,,,
,,之後的路上眾女都有點生氣的不理你。,,,,,,,,,,,
END,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
