Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound,
event_09,,<中央大道>,,,,,,,,bg_jail,,Bgm_Story1,
,,走道旁的牆挖了一格一格的小洞，每格裡都塞著東西。,,,,,,,,,,,
,Hero,這什麼?置物櫃喔?,,,,,,,,,,,
,JailerGirl,是...是囚犯私下換東西的地方...,normal,Center,,,,,,,,,
,JailerGirl,上面其實有在抓...可是抓不完...,sad,,,,,hide,,,,,
,,洞旁邊用炭筆歪歪斜斜地寫著：「拿一樣，放一樣」。,,,,,,,,,,,
,WolfGirl,主人！這格有亮晶晶的！,happy,Center,,,,jump,,,,,
,Choose,那格裡躺著一枚磨得發亮的齒輪。,,,放點錢進去再拿。|反正沒人看到，直接拿。,Good|Bad,,,,,,,
,Hero,拿一樣放一樣嘛...喏，拿去。,,,,,,,MoneyDiff_10,,Good,,
,,將幾枚金幣交給真琴去交換。,,,,,,,,,,,
,,真琴把幾枚金幣塞進洞裡，順手拿走齒輪。,,,,,,,GearAdd_1,,,,
,WolfGirl,主人在笑！是不是撿到寶了!?,normal,,,,,,,,,,
,JailerGirl,有...有好好守規矩呢...,happy,Left,,,,hide,,,,,
,Witch,守規矩的越獄犯♪還真是稀奇呢♪,happy,Right,,,,hide,,,,,
,Hero,別講得那麼難聽啦...,,,,,,,,,,,
END,,,,,,,,,,,,,
,Hero,反正也沒人在看嘛。,,,,,,,,,Bad,,
,,你直接把齒輪抽了出來。,,,,,,,,,,,
,,下一秒，整排洞裡的鈴鐺全響了。,,,,,,,,,,,
,Hero,蛤！？,,,,,,,,,,,
,JailerGirl,那...那是防小偷的機關...！,scare,Right,,,,hide,,,,,
,,一群囚犯從走道另一頭衝過來，你連臉都沒看清就被推倒了。,,,,,,,BloodDiff_10,,,,
,Hero,噗嗚...,,,,,,,,,,,
,,齒輪被拿了回去，而他們一溜煙就不見了。,,,,,,,,,,,
,Witch,這裡的規矩可比外面嚴格呢♪,happy,Right,,,,hide,,,,,
,WolfGirl,嗷...亮晶晶的飛走了...,sad,,,,,,,,,,
END,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
