Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound,
event_11,,<中央大廳 入口>,,,,,,,,bg_jail,,Bgm_Story1,
,,越往舞台靠近，音浪就震得越誇張。,,,,,,,,,,,
,Hero,嗚哇！這什麼音量啊！,,,,,,,,,,,
,WolfGirl,嗷嗚嗚嗚！耳朵！我的耳朵！,scare,Center,,,,jump,,,,,
,WolfGirl,,,,,,,hide,,,,,
,JailerGirl,大...大家不要走散——,scare,Left,,,,hide,,,,,
,,話還沒講完，一整排人潮就橫著擠了過來。,,,,,,,,,,,
,fatguy,呼...呼呼...抱歉讓讓！,normal,Right,,,,run,,,,,
,fatguy,,,,,,,hide,,,,,
,Choose,,,,抓住離你最近的雫。|先護住自己站穩。,Good|Bad,,,,,,,
,,你一把抓住了雫的手腕。,,,,,,,,,Good,,
,JailerGirl,咿！,shy,Center,,,,jump,,,,,
,,人潮就這樣從你們身邊擠了過去。,,,,,,,,,,,
,JailerGirl,謝...謝謝...,happy,,,,,,,,,,
,Hero,在這種地方走散就完蛋啦。,,,,,,,,,,,
,Witch,啊啦♪那我的手要牽哪邊呢♪,angry,Right,,,,jump,,,,,
,,賽蕾絲使用魔力將自己漂浮於半空中，完全不受下方人海影響。,,,,,,,,,,,
,Hero,你明明站得比誰都穩！,,,,,,,,,,,
END,,,,,,,,,,,,,
,Hero,站穩啊！站穩！,,,,,,,,,Bad,,
,,你死命撐住重心，結果身後傳來一聲慘叫。,,,,,,,,,,,
,JailerGirl,呀啊——！,scare,Center,,,,hit,,,,,
,,雫被人潮捲走，撞上柱子又被推回來，剛好砸在你身上。,,,,,,,BloodDiff_10,,,,
,Hero,噗嗚！,,,,,,,,,,,
,JailerGirl,對...對不起...,sad,,,,,,,,,,
,Hero,不...是我沒先拉住你...,,,,,,,,,,,
,WolfGirl,主人！這種時候要先護著小不點啊！,angry,Left,,,,jump,,,,,
,,雖遇到些許困難但好險人潮已經過去可以繼續往前了。,,,,,,,,,,,
END,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
