Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound
Affinity_Idol_12,,<整備室>,,,,,,,,bg_jail,,Bgm_Story1
,,真琴把裹著棉被的里莎往地上一放，發出沉悶的聲響。,,,,,,,,,,
,WolfGirl,主人！貨物送到！,happy,Left,,,,jump,,,,
,Hero,那是人，不是貨物...,,,,,,,,,,
,WolfGirl,都一樣啦！,normal,,,,,hide,,,,
,,真琴隨便的擺擺手離去只留下被丟在地上的里莎。,,,,,,,,,,
,Idol_Sp,唔——！唔唔——！,sm,Center,,,,,,,,
,,里莎眼罩底下傳出的悶哼，顯得怒氣十足。,,,,,,,,,,
,Hero,(好像有點殘忍...讓她說下再綁回去好了。),,,,,,,,,,
,,你解開棉被，取下口球與眼罩。,,,,,,,,,,
,Idol,咳...咳！你們這些混帳！,angry,Center,,,,jump,,,,
,Idol,老娘的頭髮全亂了啦！,angry,,,,,,,,,
,Hero,抱歉抱歉...,,,,,,,,,,
,,里莎緊接著低頭檢查起自己的衣服。,,,,,,,,,,
,Idol,...破了。,scare,,,,,,,,,
,Hero,咦?,,,,,,,,,,
,Idol,這裡...破了一個洞。,sad,,,,,,,,,
,,那是方才被拖行時勾破的。,,,,,,,,,,
,Idol,你這隻笨狗！,angry,,,,,jump,,,,
,WolfGirl,汪?怎麼了嗎?,normal,Left,,,,,,,,
,Hero,別吵了...我去幫你找針線。,,,,,,,,,,
,,半晌之後，里莎坐在角落，手中拈著針線。,,,,,,,,,,
,Hero,想不到你會自己縫。,,,,,,,,,,
,Idol,我最討厭勞動了！,angry,Center,,,,,,,,
,Idol,可是這件不能丟。,normal,,,,,,,,,
,Choose,,,,大概是捨不得錢吧?|她好像很寶貝那件衣服。,Cost|Like,,,,,,
,Hero,因為很貴?,,,,,,,,,Cost,
,Idol,廢話，一件抵你三個月伙食費。,normal,,,,,,,,,
,Idol,...雖然也不只是因為這樣。,sad,,,Dress,,,,,,
,Hero,你很喜歡這件衣服吧?,,,,,,,,,Like,
,Idol,誰...誰喜歡了！,scare,,,,,jump,,,,
,Idol,......。,sad,,,,,,,,,
,Idol,...這是我第一次自己買的衣服。,normal,,,,,,Affinity_20,,,
,Idol,以前只有撿別人不要的。,normal,,,,,,,,Dress,
,Idol,尺寸不合、破洞、發霉的都穿過。,sad,,,,,,,,,
,Hero,...,,,,,,,,,,
,Idol,所以第一次領到錢，我就跑去買了最漂亮的一件♡,happy,,,,,,,,,
,Idol,結果被經紀人罵，說那是浪費。,normal,,,,,,,,,
,Hero,那你還是買了?,,,,,,,,,,
,Idol,當然！那可是我的錢♪,happy,,,,,jump,,,,
,,里莎難得露出了不似營業用的笑容。,,,,,,,,,,
,Hero,話說回來...,,,,,,,,,,
,Hero,你不是討厭偶像活動嗎?,,,,,,,,,,
,Idol,超討厭。,angry,,,,,,,,,
,Idol,要對著一堆噁宅笑，還要叫他們親愛的。,angry,,,,,jump,,,,
,Idol,每次表演完都想吐。,sad,,,,,,,,,
,Hero,那為什麼還要做?,,,,,,,,,,
,Idol,因為這是我唯一會的東西。,normal,,,,,,,,,
,Idol,不用讀書、不用背景，笑一笑就有錢拿。,normal,,,,,,,,,
,Idol,對我這種人來說，已經夠好了。,sad,,,,,,,,,
,Choose,,,,稱讚她一下好了...|怎麼聽都覺得心酸。,Praise|Pity,,,,,,
,Hero,話說...這件衣服真的很適合你。,,,,,,,,,Praise,
,Idol,!?,scare,,,,,jump,,,,
,Idol,你...你這是在說什麼啦！,angry,,,,,,,,,
,Hero,就是覺得好看啊。,,,,,,,,,,
,Idol,......。,normal,,,,,,,,,
,,里莎垂下頭去，手中的針停了下來。,,,,,,,,,,
,Idol,...你這個人真的很奇怪。,shy,,,,,,,,,
,Idol,那些人只會喊「里莎醬最可愛」。,sad,,,,,,,,,
,Idol,從來沒有人講過「衣服」。,normal,,,,,,,,,
,Hero,因為衣服是你自己挑的啊。,,,,,,,,,,
,Idol,......。,shy,,,,,jump,Affinity_30,,,
,,里莎將臉埋進衣裳之中，好一陣子未曾抬起。,,,,,,,,,,
,,然而下一秒，她卻把針往你的手背上戳了一下。,,,,,,,,,,
,Hero,好痛!?,,,,,,,,,,
,Idol,誰叫你一直盯著看♡,happy,,,,,,,,,
,,你確信這傢伙暫時還是綁著比較安全。,,,,,,,,,,
END,,,,,,,,,,,,
,Hero,聽起來...有點悲哀耶。,,,,,,,,,Pity,
,Idol,悲哀?,angry,,,,,jump,,,,
,Idol,你以為你是誰啊?,angry,,,,,,,,,
,Idol,老娘可是靠自己爬到舞台上的。,normal,,,,,,,,,
,Idol,輪不到你來可憐我。,angry,,,,,,,,,
,,里莎抓起衣裳背過身去，再也不肯看你一眼。,,,,,,,,,,
,,縫好衣服後再次被真琴捆了回去。,,,,,,,,,,
END,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
