Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound,,,,,,,,,,,,,
Prologue4_4,,<中央舞台>,,,,,,,,,,,,,,,,,,,,,,,
,,擠開人群來到舞台最前方。,,,,,,,,,,,,,,,,,,,,,,,
,,往後的大門儼然被舞台堵住。,,,,,,,,,,,,,,,,,,,,,,,
,,台上一名打扮亮眼的少女正握著麥克風，賣力地向台下放送笑容。,,,,,,,,,,,,,,,,,,,,,,,
,Idol,大家~ 今天也最愛里莎醬了嗎♡,happy,Center,,,,jump,,,,,,,,,,,,,,,,,
,fatguy,里莎醬！！！,normal,Right,,,,hide,,,,,,,,,,,,,,,,,
,Idol,大家今天特別熱情呢！,happy,,,,,jump,,,,,,,,,,,,,,,,,
,fatguy,單推一輩子！！,normal,Left,,,,jump,,,,,,,,,,,,,,,,,
,Hero,不好意思，我們想過去可以麻煩讓一下嗎?,,,,,,,,,,,,,,,,,,,,,,,
,fatguy,吵死了！別擋著我看里莎醬！,angry,,,,,hide,,,,,,,,,,,,,,,,,
,Hero,可惡...完全講不通...,,,,,,,,,,,,,,,,,,,,,,,
,Idol,大家不能這麼火爆呦~,sad,,,,,,,,,,,,,,,,,,,,,,
,Idol,要和睦相處才行呢~诶嘿☆,happy,,,,,jump,,,,,,,,,,,,,,,,,
,fatguy,里莎醬！！！,normal,Left,,,,jump,,,,,,,,,,,,,,,,,
,,眼看僵持不下，一股無名火直衝你的腦門。,,,,,,,,,,,,,,,,,,,,,,,
,Hero,既然這樣...！,,,,,,,,,,,,,,,,,,,,,,,
,,你撥開人群，一個箭步衝上了舞台，一把搶過話筒。,,,,,,,,,,,,,,,,,,,,,,,
,Choose,,,,這種偶像有什麼好看的！|醒醒吧，她根本沒把你們當人看！,Rage|Truth,,,,,,,,,,,,,,,,,,,
,Hero,你們這群人到底在瘋什麼啦！,,,,,,,,,Rage,,,,,,,,,,,,,,
,fatguy,噓！沒品的傢伙下去啦！,normal,,,,,shake,,,,,,,,,,,,,,,,,
,Idol,哎呀~ 是個沒禮貌的小哥呢♡,sad,,,Next,,,,,,,,,,,,,,,,,,,
,Hero,你們只是她的錢包！醒醒吧！,,,,,,,,,Truth,,,,,,,,,,,,,,
,Idol,里...里莎...才沒這樣想過...,sad,,,,,jump,,,,,,,,,,,,,,,,,
,fatguy,就是阿！里莎醬是天使才不會說這種話！,angry,,,,,hide,,,,,,,,,,,,,,,,,
,,雫來到台上試圖將你拉下去。,,,,,,,,,Next,,,,,,,,,,,,,,
,JailerGirl,沒...沒關係的...,scare,Right,,,,,,,,,,,,,,,,,,,,,
,JailerGirl,我們也可以等活動結束...,sad,,,,,jump,,,,,,,,,,,,,,,,,
,Idol,哇！這不是獄卒小姐嗎?,scare,Left,,,,,,,,,,,,,,,,,,,,,
,Idol,你是來阻止里莎的表演嗎?,sad,,,,,,,,,,,,,,,,,,,,,,
,Idol,里莎好難過...,sad,,,,,jump,,,,,,,,,,,,,,,,,
,JailerGirl,沒...沒有...,sad,,,,,,,,,,,,,,,,,,,,,,
,fatguy,噓！滾下去啦！,normal,Center,,,,hide,,,,,,,,,,,,,,,,,
,,台下觀眾的噓聲如潮水般湧入。,,,,,shake,,,,,,,,,,,,,,,,,,
,JailerGirl,咿！,scare,,,,,jump,,,,,,,,,,,,,,,,,
,JailerGirl,,,,,,,hide,,,,,,,,,,,,,,,,,
,Witch,啊啦♪別這麼說嘛~【多惠子】醬♪,normal,Left,,,,,,,,,,,,,,,,,,,,,
,Idol,.......。,normal,,,,,,,,,,,,,,,,,,,,,,
,,台下的賽蕾絲似乎是在向台上這位偶像搭話。,,,,,,,,,,,,,,,,,,,,,,,
,Idol,你...你怎麼不在東側待著...,scare,,,,,,,,,,,,,,,,,,,,,,
,Witch,嘛♪台上那兩位小朋友想到大門口就順路跟來了♪,happy,Center,,,,jump,,,,,,,,,,,,,,,,,
,Witch,【多惠子】醬♪行個方便讓下如何?,,,,,,hide,,,,,,,,,,,,,,,,,
,fatguy,多惠子?我記得以前尼歌城有個叫這名字的乞丐...,normal,Right,,,,hide,,,,,,,,,,,,,,,,,
,,此話一出，全場的空氣瞬間凝固。,,,,,,,,,,,,,,,,,,,,,,,
,Idol,.......。,normal,Center,,,,,,,,,,,,,,,,,,,,,
,Idol,呵呵♡,happy,,,,,,,,,,,,,,,,,,,,,,
,,里莎維持著無懈可擊的微笑，輕輕打了個響指。,,,,,,,,,,,,,,,,,,,,,,,
,,舞台上方，一面巨大的魔術鏡子緩緩降下擋住舞台。,,,,,,shake,,,,,,,,,,,,,,,,,
,,從舞台下方無法看到台上，但卻能從上面看到觀眾。,,,,,,,,,,,,,,,,,,,,,,,
,Idol,親愛的各位~ 里莎要為下個橋段稍微準備一下呦♡,,,,,,,,,,,,,,,,,,,,,,,
,,台下響起此起彼落的哀號。,,,,,,,,,,,,,,,,,,,,,,,
,fatguy,嗚嗚嗚...看不到舞台跟里莎醬了...,normal,Right,,,,hide,,,,,,,,,,,,,,,,,
,,里莎關閉麥克風。,,,,,,,,,,,,,,,,,,,,,,,
,Idol,哈.....,normal,,,,,,,,,,,,,,,,,,,,,,
,Idol,你這狗娘養的白痴！,angry,,,,,,,,,,,,,,,,,,,,,,
,Hero,喂...這反差也太大了吧...,,,,,,,,,,,,,,,,,,,,,,,
,Idol,你這賤種知道原本能從那些白癡身上撈多少嗎?,angry,,,,,,,,,,,,,,,,,,,,,,
,,里莎生氣地指向台下觀眾。,,,,,,,,,,,,,,,,,,,,,,,
,Hero,他們不是你的紛絲嗎?,,,,,,,,,,,,,,,,,,,,,,,
,Idol,我的粉絲只有那些明亮的金幣♪,happy,,,,,jump,,,,,,,,,,,,,,,,,
,Idol,而且竟然還把那女人給帶來...,scare,,,,,,,,,,,,,,,,,,,,,,
,Idol,為了避開她才來中央區辦活動的。,sad,,,,,,,,,,,,,,,,,,,,,,
,Idol,全被你給破壞了！,angry,,,,,,,,,,,,,,,,,,,,,,
,Hero,關於這點我也很抱歉【多惠子】...,,,,,,,,,,,,,,,,,,,,,,,
,Idol,.......。,normal,,,,,,,,,,,,,,,,,,,,,,
,Idol,閉嘴啦廢物！,angry,,,,,bigCenter,,,,,,,,,,,,,,,,,
,,里莎一拳將地面打出了一個深深凹槽。,,,,,,shake,,,,,,,,,,,,,,,,,
,,此時你想起之前的肥宅說關於牆的故事。,,,,,,,,,,,,,,,,,,,,,,,
,Idol,你再說一次這名字試試看！,angry,,,,,,,,,,,,,,,,,,,,,,
,Idol,老娘好不容易裝出來的形象，都被你們毀了！,angry,,,,,bigCenter_Off,,,,,,,,,,,,,,,,,
,Hero,不就是個名字，至於這麼生氣嗎?,,,,,,,,,,,,,,,,,,,,,,,
,Hero,而且【多惠子】也蠻好聽的啊。,,,,,,,,,,,,,,,,,,,,,,,
,Hero,哪像我叫{PlayerName}，這種奇怪的名子。,,,,,,,,,,,,,,,,,,,,,,,
,,雫翻了下身上常備著的犯人檔案。,,,,,,,,,,,,,,,,,,,,,,,
,JailerGirl,我...我剛看了下資料...,normal,Left,,,,jump,,,,,,,,,,,,,,,,,
,JailerGirl,上面沒有里莎只有【本鄉多惠子】沒錯...,normal,,,,,hide,,,,,,,,,,,,,,,,,
,Idol,.......。,normal,,,,,,,,,,,,,,,,,,,,,,
,Idol,我他娘要把你們都宰了！,angry,,,,,bigCenter,,,,,,,,,,,,,,,,,
,,眼前的里莎醬已經氣到失去理智，朝這邊猛撲而來。,,,,,,,,,,,,,,,,,,,,,,,
BATTLE,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
