Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound,
Affinity_JailerGirl_1,,<東側監獄走廊>,,,,,,,,bg_jail,,Bgm_Story1,
,JailerGirl,啊！！,scare,Center,,,shake,jump,,,,,
,,雫跌倒了。,,,,,,,,,,,
,Hero,啊...有沒有怎麼樣?,,,,,,,,,,,
,JailerGirl,沒...沒事...,,,,,,,,,,,
,Choose,,,,你很常這樣平地摔嗎?|這邊有點暗走我後面吧！,Normal|Good,,,,,,,
,JailerGirl,......。,shy,,,,,,,,Normal,,
,JailerGirl,也...也沒有...,shy,,,,,,Affinity_10,,,,
,Hero,好吧...跟緊一點...,,,,,,,,,,,
,JailerGirl,嗯....,normal,,,,,,,,,,
END,,,,,,,,,,,,,
,JailerGirl,!?,shy,,,,,jump,,,Good,,
,JailerGirl,嗯...好！,happy,,,,,,Affinity_20,,,,
,Hero,小心這邊有點陡。,,,,,,,,,,,
,JailerGirl,嗯！,happy,,,,,,,,,,
,Hero,這段路有點暗你還是牽住我的手好了。,,,,,,,,,,,
,JailerGirl,好...,shy,,,,,,,,,,
,,至此雫之後都習慣走在你後面。,,,,,,,,,,,
END,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
