Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound,,,,,,,,,,,,,
Prologue4_2,,<中央走道盡頭>,,,,,,,,,,,,,,,,,,,,,,,
,,走道的盡頭，是一扇厚重的鐵門。,,,,,,,,,,,,,,,,,,,,,,,
,Hero,喔！那扇門後面就是中央大道吧？,,,,,,,,,,,,,,,,,,,,,,,
,JailerGirl,嗯...穿過大廳，出口就在另一頭了...,normal,Center,,,,hide,,,,,,,,,,,,,,,,,
,WolfGirl,嗷！那我們快走吧！,happy,Center,,,,jump,,,,,,,,,,,,,,,,,
,WolfGirl,,,,,,,hide,,,,,,,,,,,,,,,,,
,Witch,別急♪ 慢著...,normal,Center,,,,hide,,,,,,,,,,,,,,,,,
,Hero,嗯？怎麼了嗎？,,,,,,,,,,,,,,,,,,,,,,,
,,話音未落，鐵門前的陰影晃動了一下。,,,,,,,,,,,,,,,,,,,,,,,
,duck1,呱——！,normal,Center,,,,jump,,,,,,,,,,,,,,,,,
,,一隻肥大的鴨子怪大搖大擺地走出來，把門堵得死死的。,,,,,,,,,,,,,,,,,,,,,,,
,duck1,呱呱！！,normal,Right,,,,,,,,,,,,,,,,,,,,,
,Hero,又是鴨子！？,,,,,,,,,,,,,,,,,,,,,,,
,Hero,而且是不是比之前那些大?,,,,,,,,,,,,,,,,,,,,,,,
,JailerGirl,咿！牠...牠擋在門前不讓我們過去...,scare,Left,,,,hide,,,,,,,,,,,,,,,,,
,Witch,啊啦~ 看來是來替剛剛那頓燒鴨報仇的呢♪,happy,Left,,,,hide,,,,,,,,,,,,,,,,,
,Hero,別說這種不吉利的話啊！,,,,,,,,,,,,,,,,,,,,,,,
,duck1,呱！！,normal,,,,,bigCenter,,,,,,,,,,,,,,,,,
,,鴨子怪鼓起胸膛，一副完全沒打算讓路的樣子。,,,,,,,,,,,,,,,,,,,,,,,
,Choose,,,,把剩下的燒鴨丟出去引開牠。|正面解決牠！,Bad|Good,,,,,,,,,,,,,,,,,,,
,Hero,等等...我這還有剛打包的燒鴨！,,,,,,,,,Bad,,,,,,,,,,,,,,
,,你掏出燒鴨，往旁邊用力一拋。,,,,,,,,,,,,,,,,,,,,,,,
,duck1,呱...？,normal,,,,,bigCenter_Off,,,,,,,,,,,,,,,,,
,,鴨子怪瞥了一眼地上的燒鴨，又緩緩看向你。,,,,,,,,,,,,,,,,,,,,,,,
,,呱啊啊啊！！,angry,,,,,jump,,,,,,,,,,,,,,,,,
,WolfGirl,牠好像更生氣了！,scare,Left,,,,jump,,,,,,,,,,,,,,,,,
,Hero,噗嗚！,,,,,,shake,"BloodDiff_10
",,,,,,,,,,,,,,,,
,,鴨子怪憤怒地把燒鴨往你身上砸。,,,,,,,,,,,,,,,,,,,,,,,
,WolfGirl,哇...好像很痛的樣子...,sad,,,,,hide,,,,,,,,,,,,,,,,,
,JailerGirl,哇！對...對不起！我不該讓你帶那個的！,sad,Left,,,,hide,,,,,,,,,,,,,,,,,
,Hero,沒...沒事...看來只能硬上了！,,,,,,,,,,,,,,,,,,,,,,,
BATTLE,,,,,,,,,,,,,,,,,,,,,,,,,
,Hero,要上囉！,,,,,,,,,Good,,,,,,,,,,,,,,
,duck1,呱！！,angry,,,,,bigCenter,,,,,,,,,,,,,,,,,
,,鴨子怪振翅一撲，朝你們衝了過來！,,,,,,,,,,,,,,,,,,,,,,,
BATTLE,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
