Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound,,,,,,,,,,,,,
Prologue4_5,,激戰過後。,,,,,,,,,,,,,,,,,,,,,,,
,Idol,咕嗚...,sad,Center,,,shake,jump,,,,,,,,,,,,,,,,,
,Idol,竟然這麼的強嗎?,sad,,,,,,,,,,,,,,,,,,,,,,
,Idol,而且那個怪東西是什麼！作弊吧！？,angry,,,,,,,,,,,,,,,,,,,,,,
,Hero,現在可以把路讓開了吧?,,,,,,,,,,,,,,,,,,,,,,,
,Idol,喔?想起來了！,normal,,,,,jump,,,,,,,,,,,,,,,,,
,Idol,記得你們想過去是嗎?,happy,,,,,,,,,,,,,,,,,,,,,,
,Idol,想得美死雜魚！,angry,,,,,bigCenter,,,,,,,,,,,,,,,,,
,Idol,老娘偏要卡在這，誰也別想過！,happy,,,,,bigCenter_Off,,,,,,,,,,,,,,,,,
,Hero,我們也沒什麼過節吧?,,,,,,,,,,,,,,,,,,,,,,,
,JailerGirl,拜...拜託...一下下就好...,sad,Left,,,,,,,,,,,,,,,,,,,,,
,Idol,......。,normal,,,,,,,,,,,,,,,,,,,,,,
,Idol,我~偏~不~要~,happy,,,,,,,,,,,,,,,,,,,,,,
,Idol,首先我沒好處。,normal,,,,,,,,,,,,,,,,,,,,,,
,Idol,再來你那裝弱的樣子讓我很不爽。,normal,,,,,,,,,,,,,,,,,,,,,,
,JailerGirl,吚...,scare,,,,,jump,,,,,,,,,,,,,,,,,
,Idol,最後你竟然把那白癡女人帶來挖我的底！,angry,,,,,,,,,,,,,,,,,,,,,,
,Hero,不就只是名字嗎?,,,,,,,,,,,,,,,,,,,,,,,
,Hero,而且藝名跟本名本來就可以分開吧！,,,,,,,,,,,,,,,,,,,,,,,
,Idol,不懂就不要在這邊亂說話...,sad,,,,,,,,,,,,,,,,,,,,,,
,,里莎一瞬間真的露出了難過的表情。,,,,,,,,,,,,,,,,,,,,,,,
,Idol,反正我是不會讓你們過去的。,normal,,,,,,,,,,,,,,,,,,,,,,
,Hero,明明是我們贏了...,,,,,,,,,,,,,,,,,,,,,,,
,Hero,不然你開個條件?,,,,,,,,,,,,,,,,,,,,,,,
,Idol,好啊♪,happy,,,,,hide,,,,,,,,,,,,,,,,,
,Idol,給老娘把台下那白癡乳牛女幹掉...,happy,,,,,,,,,,,,,,,,,,,,,,
,Hero,不可能！換一個條件。,,,,,,,,,,,,,,,,,,,,,,,
,Idol,做不到吧?噗♪,happy,,,,,,,,,,,,,,,,,,,,,,
,Idol,那你們就趕緊給老娘滾下台！,angry,,,,,,,,,,,,,,,,,,,,,,
,JailerGirl,我...我可以幫你爭取減刑...,normal,,,,,,,,,,,,,,,,,,,,,,
,,雫鼓起勇氣試圖做最後掙扎。,,,,,,,,,,,,,,,,,,,,,,,
,Idol,減刑?你以為你是誰?,happy,,,,,,,,,,,,,,,,,,,,,,
,Idol,而且你以為外面世界有多好?,normal,,,,,,,,,,,,,,,,,,,,,,
,Idol,吃屎去吧！,,,,,,,,,,,,,,,,,,,,,,,
,JailerGirl,嗚...嗚嗚嗚...,sad,,,,,hide,,,,,,,,,,,,,,,,,
,Hero,沒必要這麼兇吧...,,,,,,,,,,,,,,,,,,,,,,,
,Idol,關你什麼事，死處男！,angry,,,,,,,,,,,,,,,,,,,,,,
,Idol,像你這樣一點男子氣概的廢物還是滾下台吧。,normal,,,,,,,,,,,,,,,,,,,,,,
,Idol,台下豬圈才是你應該待的地方♪,happy,,,,,,,,,,,,,,,,,,,,,,
,Idol,里莎的理想型可是硬派猛男呢♪,happy,,,,,,,,,,,,,,,,,,,,,,
,Idol,你這臭陽痿還是蹲一邊去尻槍吧~,happy,,,,,,,,,,,,,,,,,,,,,,
,Idol,有本事就正面上我啊♪,angry,,,,,bigCenter,,,,,,,,,,,,,,,,,
,Idol,反正你也做不到吧?噗♪,happy,,,,,,,,,,,,,,,,,,,,,,
,,試圖理性溝通的你反而遭到一連串輸出。,,,,,,,,,,,,,,,,,,,,,,,
,,最後的理智被那一聲嘲笑給徹底扯斷。,,,,,,,,,,,,,,,,,,,,,,,
END,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
