Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound
Affinity_WolfGirl_13,,<整備室>,,,,,,,,bg_jail,,
,,真琴的耳朵忽然抖了一下，朝向牢房深處。,,,,,,,,,,
,Hero,怎麼了?,,,,,,,,,,
,WolfGirl,有東西在動。,normal,Center,,,,,,,,
,WolfGirl,大概三十步外，四隻腳的。,happy,,,,,,,,,
,Hero,三十步外你也聽得到!?,,,,,,,,,,
,WolfGirl,這很普通吧?,happy,,,,,jump,,,,
,,對狼族而言，這似乎屬於常識的範疇。,,,,,,,,,,
,Choose,,,,話說她那對耳朵是真的嗎?|她的鼻子應該也很靈吧?,Ear|Nose,,,,,,
,Hero,那個...耳朵可以摸嗎?,,,,,,,,,Ear,
,WolfGirl,咦!?,scare,,,,,jump,,,,
,WolfGirl,族裡只有很親近的人才可以摸耳朵！,angry,,,,,,,,,
,Hero,啊...抱歉，那當我沒說。,,,,,,,,,,
,WolfGirl,......。,normal,,,,,,,,,
,WolfGirl,...一下下的話。,shy,,,,,,,,,
,Hero,咦?,,,,,,,,,,
,WolfGirl,快點！我會反悔！,angry,,,,,jump,,,,
,,你伸手輕碰了一下，那對耳朵立刻抖著縮了回去。,,,,,,,,,,
,WolfGirl,夠...夠了夠了！,shy,,,Nose,,,Affinity_20,,,
,Hero,那鼻子呢?應該也很靈吧?,,,,,,,,,Nose,
,WolfGirl,當然！,happy,,,,,,,,,
,WolfGirl,我閉著眼睛也知道誰是誰。,happy,,,,,jump,,,,
,Hero,那你聞聞看，雫今天吃了什麼?,,,,,,,,,,
,WolfGirl,唔...,normal,,,,,,,,,
,WolfGirl,麵包、濃湯，還有剛在廚房偷吃的蜂蜜。,happy,,,,,,,,,
,JailerGirl,我...我沒有偷吃！,scare,Left,,,,jump,,,,
,,雫的慌亂使答案呼之欲出。,,,,,,,,,,
,JailerGirl,嗚...,sad,Left,,,,,,,,
,,真琴得意地挺起了胸膛。,,,,,,,,,,
,Hero,那我呢?我是什麼味道?,,,,,,,,,,
,WolfGirl,主人啊...,normal,Center,,,,,,,,
,,真琴湊了過來，鼻尖幾乎要碰到你的衣領。,,,,,,,,,,
,WolfGirl,鐵、汗，還有一點點機油味。,normal,,,,,,,,,
,Hero,機油味?,,,,,,,,,,
,WolfGirl,那個裝置的味道啊！,happy,,,,,,,,,
,WolfGirl,剛認識的時候，我還覺得很刺鼻...,normal,,,,,,,,,
,Hero,現在呢?,,,,,,,,,,
,WolfGirl,現在...,normal,,,,,,,,,
,WolfGirl,現在聞到，就知道是主人來了！,shy,,,,,,,,,
,,說完她自己愣了一下，耳朵瞬間紅了起來。,,,,,,,,,,
,Choose,,,,這句話有點犯規|她尾巴搖得比嘴巴誠實,Blush|Tail,,,,,,
,Hero,你這樣講，我會不好意思耶。,,,,,,,,,Blush,
,WolfGirl,我...我只是在講事實！,angry,,,,,jump,,,,
,WolfGirl,族裡...族裡都是這樣講的！,shy,,,,,,,,,
,Hero,是喔…,,,,,,,,,,
,WolfGirl,不准笑！,angry,,,,,,,,,
,,真琴別過頭去，耳朵卻紅得發燙。,,,,,,,,,,
,WolfGirl,...主人。,normal,,,,,,,,,
,WolfGirl,不管你在哪我一定都找的到你！,happy,,,,,,Affinity_30,,,
,Hero,聽起來真可靠呢。,,,,,,,,,,
,,真琴這句話你記了很久。,,,,,,,,,,
END,,,,,,,,,,,,
,Hero,話說你尾巴搖成那樣，是高興的意思吧?,,,,,,,,,Tail,
,WolfGirl,!?,scare,,,,,jump,,,,
,,那條尾巴瞬間僵在了半空中。,,,,,,,,,,
,WolfGirl,這...這是它自己在動的！跟我沒關係！,angry,,,,,,,,,
,Hero,原來沙狼族的尾巴是獨立生物啊。,,,,,,,,,,
,WolfGirl,你很煩耶！,angry,,,,,jump,,,,
,,真琴把尾巴壓在身下坐好，卻怎麼也藏不住。,,,,,,,,,,
,,那條尾巴，在她身下掙扎了整整一晚。,,,,,,,,,,
END,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
