Chapter,Character,Dialogue,Portrait,Pos,ChoiceText,JumpTo,Camera,Anim,Flag,Background,Tag,Sound,,,,,,,,,,,,,
Prologue5_1,,<囚犯區．末端走廊>,,,,,,,,bg_jail,,Bgm_Story1,,,,,,,,,,,,,
,Hero,呼…剛真是驚險。,,,,,,,,,,,,,,,,,,,,,,,
,,走廊在這裡突然變得寬敞，牆上開始出現整齊的壁燈。,,,,,,,,,,,,,,,,,,,,,,,
,Hero,喔?這邊看起來乾淨多了。,,,,,,,,,,,,,,,,,,,,,,,
,JailerGirl,因為...這裡已經是囚犯區的邊界了。,normal,Center,,,,jump,,,,,,,,,,,,,,,,,
,,身後傳來某種東西被拖過地板的聲音。,,,,,,,,,,,,,,,,,,,,,,,
,WolfGirl,嗷~主人，這個還要拖多久啊?,sad,Left,,,,jump,,,,,,,,,,,,,,,,,
,,真琴一手拖著一捆棉被，棉被上還纏著好幾圈繩子。,,,,,,,,,,,,,,,,,,,,,,,
,Idol_Sp,唔——！唔唔唔！,sm,Right,,,,jump,,,,,,,,,,,,,,,,,
,,粽子劇烈地扭動了兩下。,,,,,,,,,,,,,,,,,,,,,,,
,Hero,她好像有話要說。,,,,,,,,,,,,,,,,,,,,,,,
,WolfGirl,,sad,,,,,hide,,,,,,,,,,,,,,,,,
,Witch,啊啦♪ 上次讓她說話，她開口第一句在罵你喔♪,happy,Left,,,,,,,,,,,,,,,,,,,,,
,Hero,...給你十秒。,,,,,,,,,,,,,,,,,,,,,,,
,,你蹲下來，取下她的口球與眼罩。,,,,,,,,,,,,,,,,,,,,,,,
,Idol_Sp,哈啊——！終於！,angry,Right,,,,jump,,,,,,,,,,,,,,,,,
,Idol_Sp,喂，你們這些白癡知不知道棉被裡有多熱！,angry,,,,,,,,,,,,,,,,,,,,,,
,Idol_Sp,還有，這條棉被算你們租的，一天三千。,happy,,,,,,,,,,,,,,,,,,,,,,
,Hero,...十秒到。,,,,,,,,,,,,,,,,,,,,,,,
,,口球與眼罩回到了原位。,,,,,,,,,,,,,,,,,,,,,,,
